7fb1,7f5d,80ac
803f,7afc,84f8
8185,7a7a,8142
7e1c,7bf0,7f48
7e4a,7fd9,79e7
7f4d,827f,74be
7e0c,8334,788e
7e12,82e2,7db9
802a,803b,7fe6
7f5f,7e9c,85c1
7ec2,7bf7,8697
7e33,7c3c,81e9
7d80,802c,7d2e
7c53,7f7e,7d95
7c3c,7f8a,7c1f
7f3e,7ff4,7e58
7f13,7d1b,8484
8007,7b0c,8493
8155,7b8f,80a0
7db8,7c73,7e51
7d62,7f89,7a4b
7e00,8246,7518
7d74,83cc,788c
8049,840d,7e12
7f26,80cc,8116
7f81,7e29,85d2
7f40,7c87,86bf
7d40,7d9b,815e
804d,7fbf,7d77
7e18,7fde,7dc6
7cf9,806d,7b93
7e97,812b,7f16
7f9b,7d0d,843c
8012,7aa7,84bc
808d,7b66,8135
7cf3,7c57,7f62
7ec5,7ecb,79f6
7f46,81f3,751d
7e61,8333,7841
8071,831a,7db7
809b,80da,8083
8029,7e54,8586
7f6f,7ced,874b
7da9,7d3f,819b
7faa,7f30,7dd7
7f0d,7f89,7d76
7cf7,7fef,7c68
7ec1,813f,7dd9
7e52,7cc2,83f0
7f86,7a61,84c4
803a,7b28,806a
7f84,7d89,7f39
7f49,7f5f,79c0
7d17,81e6,74af
7c88,8338,7835
8028,8254,7e05
7fba,7fcb,8088
7f36,7e2c,85d3
80bf,7c63,87cf
7e1b,7c5f,8204
7e71,7f9f,7d74
7de0,801c,7dd7
7e09,8119,7c77
7ecc,81c4,7e49
7e91,7ce3,83e6
7ff8,7978,846f
816f,7c3d,80f0
7f36,7dea,7efa
7e83,8081,7a31
7def,8260,7498
7be2,8290,7886
7dc2,82b6,7e0b
7e47,7ffb,801a
7f16,7e4f,85ef
7f6a,7d1b,8744
7e7a,7dc7,81c4
7f33,7fbe,7dca
7d97,807a,7cc9
7d97,7fd4,7bb9
7fd5,80f7,7efc
80e2,7cb9,84a8
8077,7a43,83f6
80d9,7a98,817e
7eea,7cb8,7ec9
7f0b,7ee0,7a19
7fe7,827a,7527
7d3b,841f,78d0
7e61,833f,7ec6
7f24,800a,8025
7f48,7d58,8588
7f6c,7c22,8732
7d9f,7cf5,812e
7f15,8046,7d44
7dfa,8087,7d2c
7ea3,8090,7c09
80b8,8094,7e8c
7c7c,7bdf,8429
7dfd,79e7,8470
81b3,7b10,80b5
7f56,7d56,7eea
7d2d,804c,7abb
7f1b,822f,751a
7e7c,8494,7874
7da8,834f,7db6
7e94,7e97,8013
8037,7d9a,85ac
80c7,7be9,8693
7e1c,7e0f,821e
7e90,8040,7e48
7e4e,7f20,7db3
7d2e,7fd8,7b0b
800c,811e,7dbd
8036,7cf7,8519
7f8b,7af7,849d
80b7,7aa7,8129
7ef3,7d45,7f4b
7dda,7fe1,7a60
7e97,8245,7467
7d9c,8399,7826
7fb5,8314,7d41
7f7d,7f21,8040
7fd2,7d13,85c7
80ad,7cd9,8741
7ec0,7de7,81b0
7dc6,80af,7d84
7cc7,7fdb,7caf
7c1c,7fe3,7bd8
7f16,818a,7f12
8009,7cdb,84e9
7f21,7a4e,83da
8038,7bd0,8173
7e5e,7cfd,7fa3
7e36,7fab,7aae
7e45,828e,74b6
7c02,83b1,793c
7ea4,832d,7e64
8064,7ec0,7fd6
808a,7c87,8542
7f96,7c2f,873b
7c68,7df0,80a4
7ced,807a,7d57
7d75,7ff2,7d44
7df7,809c,7cb1
7fa1,8132,7df0
7f86,7bf1,8421
7f80,795b,84f7
8139,7c5f,816e
8036,7cbc,7f43
7ea8,7fec,7aa3
7daf,831e,753e
7d9a,8454,780e
7f6f,81ff,7e24
809a,7f6a,8054
7ff2,7e8c,8590
80b1,7c17,878d
7ddf,7bdd,81d5
7e23,7f0c,7db6
7dae,7f96,7db8
7c4e,80ac,7be4
7ecc,8156,7d5d
7fcd,7d10,840f
802e,7a78,843f
7fd1,7b15,805a
7de9,7ce0,7ed2
7f94,803f,7a5e
7eb8,82a8,759d
7d0a,8251,789f
7ddc,82cd,7d72
7ef9,8063,8069
7f22,7ee9,84e9
80a3,7c0a,8814
7d82,7c10,8174
7e72,7f6f,7e5f
7ed6,8037,7d98
7e7a,80f0,7b60
7f3a,81af,7dce
7ddc,7cbb,83dc
7ed9,7a00,846b
7fc5,7abf,80bf
7eab,7cbc,7f5d
7faf,7fdd,7a0e
7e5c,832d,74af
7c30,856b,7838
7e72,843e,7e77
804e,8036,815a
80ee,7d8e,8591
7fba,7ae1,86b5
7f1f,7c13,8225
7f86,7fa6,7d97
7e02,8006,7dcd
7c88,8109,7c41
7f69,8151,7dab
8017,7c3f,8405
7fb2,79d7,857c
7fdc,7b1f,810a
7dbe,7cfa,7e6e
7f21,7f5a,7a9c
8119,8237,75b7
7f6d,84f1,7961
7dac,843e,7db1
7cd5,808b,80b6
7f19,7dcf,8634
7efd,7c3b,872d
7cbd,7cd3,8105
7edc,8072,7d9f
7e66,7ee3,7da6
7ce9,7fe4,7b63
7f02,810e,7e09
800e,7cc6,83b0
80f9,7a96,84b3
8083,7a14,80d6
7f58,7c80,7f25
7fb1,8030,7a26
7d30,8284,74e2
7bb0,8394,78aa
7f1c,834e,7dce
7fb1,7feb,8079
7f90,7e32,8511
7fa0,7b9c,8697
7eb7,7be6,81d1
7fb3,7f69,7e86
7e41,80a3,7da7
7c49,80c6,7c5f
7e18,8183,7dbe
7eb7,7cb5,83c9
80d8,7a14,83dd
8174,7b2a,816b
7f47,7c3d,7f5a
8019,7fb2,79b4
7f53,82e5,74c1
7c8c,83e6,788f
7e79,8455,7d53
800e,8075,80fb
7fb6,7e08,85cb
7f1b,7caa,87db
7df8,7c85,81cf
800b,7f13,7dcf
7e2c,8021,7d32
7d24,8083,7c66
8018,8130,7d25
7ffb,7d91,836e
7f07,7a2f,854a
7f4b,7a34,8199
7efb,7b82,7ee7
7f64,7f54,79e3
7d58,82e2,7482
7bd7,850e,786f
7ef2,84f5,7d96
7f5c,80a0,80a4
80bb,7d36,8555
7fc5,7b31,8804
7d5e,7b89,8211
7d94,7fb9,7dc5
7dbe,7e90,7d4f
7def,8091,7c19
803f,81a0,7e37
7fbe,7d91,83fa
804e,7b94,84b6
8137,7b53,80fa
7e97,7b7b,7fa8
7ea5,7f81,7a55
7eb3,82fa,74d0
7cf0,8414,78f8
7e88,83d3,7df7
7ec1,8047,8071
7e82,7dbd,850f
7ff4,7c1c,86eb
7deb,7c01,81a2
7da5,7f8b,7e38
7d7a,8023,7ddc
7e20,8088,7af0
7f06,8193,7db1
7e14,7cec,83c9
7f82,7a46,83da
8159,7b2b,80e7
7eab,7cbf,7f83
7ee0,7fa9,7a8d
7e41,81ab,7505
7d1a,83c9,77df
7ea7,843c,7d63
7eb2,800f,80a4
801c,7df5,86aa
7fd9,7b3d,87a1
7e6c,7bab,827b
7e8b,7f65,7d56
7e11,80a0,7daa
7d1b,810c,7aca
7eb0,818a,7d79
7db6,7d64,83ea
7fc2,7aa8,84f1
8042,7b5c,805f
8003,7b90,7f4f
7e16,7e9d,79ff
7db6,822f,74e5
7de0,84c2,789d
7fe9,83e5,7d6f
7fa9,8089,8129
7fa9,7da9,8526
7fee,7c46,87bf
7fb9,7b7e,82ad
7f56,7f3b,7df4
7e9e,8013,7de0
7c4f,8100,7c5f
7f30,8186,7e03
8057,7d1f,83d1
80aa,7a8e,83bf
81f6,7b46,809b
7eee,7cf2,7edf
7f9c,7f87,7a8e
7dcc,826f,74f3
7d1b,82df,7937
7df7,835b,7e18
7ed9,80e4,8066
7f79,7e2a,8576
8078,7b7a,875f
7e6f,7b7d,81e2
7e3f,7f3a,7dfc
7e1e,7ff5,7dc8
7c92,81ba,7b7e
7f67,8207,7d47
7f9f,7d1b,840d
80ac,7a52,83a5
803b,7b43,8042
7e7e,7c1a,7f2b
7d6f,7f1c,7a8c
7d77,82ab,756f
7cf7,84f4,7907
7e3d,8351,7de0
7eb5,8031,80da
7f0c,7db0,8583
7fd1,7b12,871d
7eae,7be6,8272
7e06,7f1f,7e32
7e72,811b,7dba
7def,8140,7bca
7f3e,8236,7d25
7e16,7cfa,83ee
7f1a,791a,8462
8241,7a11,8061
8185,7c05,7f23
8130,7feb,79cf
804e,8343,7459
7cf5,848b,78f5
7cd9,8367,7dba
7ea1,801d,80d5
7e7d,7d74,8583
8030,7be7,879b
7e90,7ca6,82ab
7f1f,7ff9,7dc7
7d4e,805e,7d94
7df6,81b3,7ba6
7d93,81b6,7db2
7d3f,7d18,84f4
8039,7ab2,84bc
8051,7bee,80d9
7e4f,7cd9,7eeb
7fb6,7f6e,7a60
7fad,8254,7422
7dd3,84a4,7787
7fa2,83cf,7ddb
7e15,7fd8,80c5
7e59,7d5e,860d
7eda,7ba7,87c7
7e54,7b90,8200
7f00,7ec7,7db5
7def,7f42,7d83
7c8a,80c2,7b8e
7df5,817d,7dc8
7df5,7c77,837a
7f15,7a12,847e
810e,7a54,80cb
7e80,7be4,7efb
7f20,7f55,7a78
7eec,82c4,74d0
7ec8,84d4,7878
8028,8427,7d8b
8088,7fb3,7ffe
7fbf,7e06,8699
7fff,7bd3,87fb
7ee3,7bab,82b3
7f3c,7f50,7e1c
7e17,8005,7dad
7ca8,80d1,7b66
7e92,8108,7d3e
7e96,7d7c,83b2
7ff2,7aca,84a1
81ed,7a7d,813f
803f,7bf4,7fed
7e8a,7e70,7a4d
8025,8307,748d
7cf3,8522,77b8
7d40,82ca,7d52
7ed7,7f2f,8040
7fff,7dc0,8673
7f20,7c5b,8822
7d4b,7d03,8301
7f1e,7fb8,7dc3
7dd0,80a0,7d8e
7e4a,80a9,7b86
7fc1,806e,7d77
7e4e,7c0c,82cb
802f,79e1,8452
8140,7b6b,8107
7ea3,7cf6,7ec1
7e87,804b,7add
7e04,8319,74ef
7adc,842f,77ee
7e1d,8393,7db5
7eb2,80ea,7fdc
7eb5,7ebe,85f6
7f87,7ccb,88d4
7e8a,7c59,82ce
7e81,8003,7e4b
7d16,8007,7dbe
7b93,805a,7b33
7fe3,8078,7d29
8050,7cd9,82b7
80cc,7a6c,8461
8386,7b11,8121
7e90,7c44,7efd
7f8f,8055,7aa1
7f62,836d,748a
7cf7,84b9,7875
7de5,8394,7d97
7e6b,8010,8071
7e2d,7f07,8563
7f68,7ba2,877e
7f1a,7bf1,82b3
7f47,7f4e,7ecf
7de7,7fcd,7d8b
7d3a,7f7e,7b95
7e85,80a3,7d24
7e0a,7c59,8372
8038,79f6,83df
81f7,7b8b,8127
8002,7c8d,7fac
7fd9,7f78,7acf
7df6,8265,7519
7cb9,8499,78bd
7dcc,82bd,7dee
7dfe,7ff7,8080
7f27,7dd9,85a4
80ad,7b93,872b
7f2e,7c30,827b
7f62,8008,7dda
7f41,7ffe,7dc2
7c57,802d,7bf1
7dce,80bf,7cd7
7dbb,7c90,8305
7e81,7a79,84e2
8143,7af3,8166
807f,7c7f,7f33
8043,7fec,7a8d
8011,83e6,7559
7e0a,856a,77db
7f48,839c,7d80
7f42,7f8a,803a
7f63,7d4b,85f6
7f82,7bbe,881f
7e62,7b69,827b
7fdd,8022,7df9
7f10,80a1,7d62
7cbd,80f3,7b2c
7d2e,8037,7d2f
7e13,7bdf,837b
811a,7a02,8483
8185,7b2a,80d5
7ef3,7c82,7f52
7e79,802e,7a9d
7cf8,8362,749a
7c1f,8537,77ff
7c5b,838e,7d9d
7dfc,7fdb,8140
7f6f,7d57,86af
8128,7ba7,87cd
7e20,7b87,829f
7e81,8048,7d6f
7dac,80d1,7d8e
7d88,814b,7bb3
7efe,8165,7c7e
7f64,7b60,82ff
8018,7909,84ac
802f,7a26,8130
7e3b,7c22,7f81
7f15,7fb6,7ac4
8041,8355,7587
7ca9,8586,7818
7d48,8403,7d75
7f8f,80f5,8083
7f89,7d49,85fc
80ab,7ba4,884e
7dff,7c9e,82ef
7f70,7fe3,7dba
7e5b,8038,7d8b
7da7,8013,7b11
7dd5,8182,7d01
7e13,7cc4,8319
801a,7a20,84dc
82fa,7abb,816e
803c,7be4,8015
7ed1,7fd3,7b03
7e0e,8356,7567
7ca8,8616,77f8
7e06,83e6,7d08
7efc,7fc6,802b
81a6,7dea,85d3
80ff,7c55,8854
7d36,7ada,827d
7e7f,8021,7e5c
7e9a,805f,7d67
7df4,816c,7af3
7e30,81da,7c81
7e21,7d49,82ed
7e81,79b0,84c6
809d,79df,8199
7efc,7b25,7fa4
7f3f,7fed,7ae1
7eff,8358,75a5
7d59,85db,77b4
7d93,83ea,7ce6
7f50,7f01,806d
8064,7cff,862f
8017,7b0b,87dc
7e59,7c94,8287
7e92,801f,7e72
7f28,8144,7d89
7d1e,81cf,7b19
7e91,8176,7c7a
7e03,7bde,82b5
7f29,798a,849f
8108,7a82,814c
819f,7bbd,7fd6
7fd1,7f37,7a9f
7dbe,8248,7637
7c78,84cc,77e3
7ff2,840b,7d79
7ede,809d,800d
7f0a,7dc4,85b5
7fef,7ae6,8827
7d67,7ab8,82e6
7f6f,7fd1,7dee
7e95,8008,7e08
7d57,8070,7b43
8108,8182,7ca1
8087,7e3b,8331
7f92,7a93,84a4
7fad,7b2b,80bc
7f72,7bbd,7ff6
7ce7,7e8a,7b6b
7cf6,827f,74c4
7c4d,85bb,785b
7ddc,8507,7cc4
803d,8174,7f18
7fea,7de4,84f9
7dab,7b05,8815
7cd8,7a95,82c5
7f14,7e83,7e22
7e43,7ebc,7e42
7d69,8070,7c69
7ec5,81b7,7c82
7e39,7e45,827c
805d,7a0e,83d0
8186,7a56,8068
7da8,7c99,7fdb
7fd6,7f76,7a98
7fc0,83e0,755a
7e9f,860b,7887
7ea6,8477,7dfc
7e9a,7fc7,80bc
803d,7d70,8577
8036,7af8,8813
7d5d,7a81,834f
7e6b,7df3,7df3
7d81,7f83,7d45
7c30,81fe,7bb1
7d67,8254,7d32
7e4b,7d0c,8317
7ffb,79b6,8490
81f9,7a0c,81ee
7fac,7c8a,7f48
7f20,7f79,7a74
7ed4,836b,7505
7c20,85d0,77e0
7f2a,838e,7d5f
7e62,80b4,8019
7efc,7e59,859c
803d,7be6,873c
8031,7bc9,832b
8013,7f13,7e21
7ec9,7f00,7c8e
7d75,8154,7ab6
8046,827e,7c63
7fb7,7d43,83ce
8101,79f6,84bc
8122,7b46,8103
7dbc,7c07,7f6e
7e0b,7eb5,7b45
7f92,821d,75c5
7d17,85c7,7845
7dba,83d1,7d7a
7d8e,7f91,8032
7d31,7d49,85bb
80e7,7b33,87de
7f1a,7b9f,8347
7eb8,7fac,7e4a
7e9c,80f3,7daa
7de4,81ab,7b74
7e44,8209,7d0d
7ebf,7d1c,82fb
7ef8,791f,84a8
802f,79ef,80e8
7ee3,7bad,7f5f
7d72,7f8f,7ae9
7f23,8290,7508
7e45,8503,77e4
7d63,8383,7d51
7f1f,8047,7fc7
8039,7e32,869b
7fcf,7ba2,885e
8011,7c06,8331
7ff3,7f67,7eb6
7dea,7fa8,7dc1
7c69,80eb,7ae6
7f2a,81d6,7c92
7fe2,7dc5,82ca
7ef2,79fd,84b6
8062,7a84,814b
7f3d,7ade,7f3e
7eb1,7f6b,7a78
7fb9,82b9,74ea
7de1,8590,77b7
7f4c,8465,7cfc
7f6b,7fdb,804e
80a3,7d75,8590
802c,79df,88c1
7cbd,7bd1,8388
7d2f,80a2,7e38
7f1b,814f,7d9a
7cdb,81fb,7b3d
7e15,821c,7cbc
7fa7,7d6a,8274
7f38,7a29,8498
822e,7a6e,815b
7fbe,7c68,7fa9
7efc,7f9f,7b3a
7d03,82ae,74f7
7c15,84bd,77cc
7e3d,843d,7ce3
7fbc,809f,8051
80b8,7d48,85dd
813f,7a56,881e
7f61,7b66,835d
7d20,7f91,7ec1
7d2d,7ffb,7dc2
7cb6,8063,7bf7
7dd6,8141,7c4f
7d69,7d6e,8331
804a,7a48,845a
828a,7ada,80f0
7fa5,7cd1,7f8e
801e,7f71,7ac7
7eb6,82e4,750c
7cad,848d,7791
7df3,83de,7d81
7d1a,7fd1,8064
7f5c,7e00,8621
7f43,7b1d,885d
7dc3,7b48,8405
7ead,7ea2,7eee
7f15,8079,7d84
7cda,82e1,7b5f
7f6c,82de,7c2a
7ff6,7cab,830e
7ee1,7a03,842f
8247,7b21,8051
80ad,7ca8,7f13
7ed6,7f79,7a74
7daa,8312,74ad
7c4c,8559,783e
7e2d,8454,7d54
7e63,7fd2,8094
7fd5,7c8e,85f8
81a2,7a45,8873
7eae,7aea,834b
7f7a,7ee5,7dd1
7ef3,8022,7e2c
7cfa,8118,7aba
7f18,821f,7cbd
7eab,7dec,82ea
7f2a,7ac8,843f
8017,7b05,812d
7f0e,7c5c,7f33
7fd1,7f00,7ad7
7e96,829b,746a
7d99,85ff,77b0
7d97,846e,7d62
7d83,80b6,80ed
7f4c,7dab,86bc
7fce,79ac,88ed
7e96,7a09,839b
7fbc,7e6f,7e66
7e33,7fd1,7df7
7de2,80a4,7b92
7dd5,8168,7c58
7e1e,7da2,82ab
7f40,7aae,8409
823c,7a7f,80f3
8116,7bb1,7efa
7e90,7ee9,7a81
7cab,82f6,74d7
7d0a,8610,7784
7e11,8535,7d52
7efc,80a3,80a6
7fb1,7d63,858b
7f89,7b3c,88ef
7ef2,7b1f,8372
7ef7,7e48,7df5
7de5,7efb,7dce
7db4,8115,7b17
7d60,8129,7c6f
7dea,7d72,8298
7ff7,7b00,8476
8081,7b1f,8175
7f04,7bea,8010
7fb8,7ed9,7a85
7fda,8298,74e9
7dbc,85ff,775d
7e31,8486,7d11
7fa5,80ed,80f8
8114,7de7,85c2
8145,7aee,88a7
7ed5,7bc6,8342
7fb4,7e27,7e47
7dcc,7f80,7e15
7ca4,80ac,7b09
7e64,80bc,7c04
7e5d,7dd7,830a
8012,7b38,8455
8070,7b6d,8086
7fe4,7ccd,7f7e
8007,7fa7,7ae6
7ea7,832c,75b1
7ab8,856d,77bd
7dac,8392,7d45
7ee8,807b,7fdc
8014,7e0f,860a
7eca,7bfa,8891
7dd1,7c24,8380
7f9c,7f73,7ea9
7e51,8025,7d38
7c42,8090,7b35
7e74,80ea,7b9c
7e5c,7c9f,829b
7efc,799c,83f6
8068,7ab4,820c
7e89,7c7f,805e
7f9f,7fa7,7b37
816e,8318,754e
7d7b,8618,784b
7e21,834d,7cf4
7dbb,7fc0,7fb8
7df4,7e4e,8633
7eb4,7ba9,88ff
7d6f,7be3,834f
7ee1,7fe1,7e8f
7e77,803b,7d2f
7cb2,80fc,7b21
7ea3,8134,7ca3
7e65,7c73,82aa
7fd0,7a6c,8463
81fb,7a90,8065
8034,7c27,7fc2
80aa,7efa,7b5c
7e78,823c,7568
7c87,84d4,77cf
7e57,82ed,7c8a
7e72,7f76,8109
7f5a,7d33,8679
7fb2,7b7b,88b3
7f0d,7bc6,82f2
8010,7f7d,7e75
7ef0,7fa7,7d4a
7d5b,8036,7aa3
7ff8,81b3,7b8d
7f8d,7d3d,81ba
8058,7b30,84a7
80c3,7bac,80fe
8066,7c0f,8076
8050,7f29,7bad
7ee3,836f,756c
7cab,8611,77c8
7da9,8335,7de8
7ea1,7ed4,8004
7e82,7e49,8569
7f7f,7bc6,88d9
7fec,7cee,82de
8110,8070,7e55
7dc8,8014,7d27
7d03,8150,7b63
7dfd,8139,7d42
7e40,7c08,8229
7f95,7983,8511
80b9,7ab7,81d5
7e44,7d02,7f84
803f,7f2b,7b0c
7df0,836a,755b
7ce4,8646,7719
7ee0,82d3,7d81
7f81,7f2c,80aa
81ae,7cd8,863e
8039,7a15,8953
7d5a,7bf4,834e
7e58,7fba,7d40
7d7d,804e,7d0b
7d5b,80c9,7a99
7f0c,818c,7bb2
7cb3,7ce8,834d
7ce3,78eb,8532
8103,7a95,810d
808d,7d7a,7fcf
7e8e,808a,7b34
7e98,8381,7587
7da1,8618,77cb
7bfd,83ac,7d67
7d2c,7f7f,807f
7f57,7e1d,856a
8055,7b56,8905
7e1a,7c67,8305
805f,80a4,7ded
7e53,7fe8,7d32
7d74,808b,7b16
7e5c,80dc,7bb6
7dfc,7cf2,81c0
7ef4,7a29,8470
816c,7b35,81ba
7ff9,7c4e,7ff6
7f8a,801e,7abb
7fef,83b5,7512
7e33,855e,775d
7f27,833f,7cff
7f4a,7ee3,808d
7f55,7cea,85fa
808d,7a27,88d9
7f53,7c19,832c
8082,8044,7e56
7e15,7fe5,7e0a
7cfd,8101,7bcc
7ec2,815e,7b7f
7f5f,7cf5,820f
7fc9,7941,84ce
810f,7952,818c
7de0,7b54,7fce
7d3f,7fa9,7b98
7e57,842d,75e4
7df9,8682,77bf
7d12,8366,7ccc
7d9f,7f95,7fd6
7e1a,7d97,8586
806f,7a95,88a9
8039,7af9,83c4
7fd9,7f48,7ec1
7f24,802d,7d5d
7c90,81c3,7b0b
7db9,8217,7c02
7ecd,7db9,82a5
7fba,79d5,8501
80b8,7a4f,812d
7f85,7bd5,8027
7ee8,7ff2,7b64
7f03,834c,7589
7d15,8680,7762
7de6,853a,7cde
7de0,7fb3,7ff7
7f3a,7d0a,856e
7f32,7980,8900
7e25,7a7c,83ac
8012,7e89,7ef1
7f18,7fe4,7dde
7d6a,82cd,7b07
7fa2,81a5,7bc8
7e4b,7d1a,8215
7f7a,7a58,8349
8114,7ae9,8096
7de3,7ceb,7fd5
7eca,7f6c,7b77
7fb4,8330,7569
7dd9,861f,7727
7d5b,84af,7cf3
7d20,8090,80c5
7ddf,7dcc,856b
8096,7a4d,8873
7f49,7acd,8429
7e93,7f4b,7ed0
7da1,7fd7,7d9d
7ce1,8197,7b60
7fd7,8219,7c02
7e34,7d68,8289
7ee8,799a,8424
81a0,79b4,80bf
7f8f,7b9e,7ff1
7f6e,7f60,7b29
7f71,82ba,75b8
7d7a,86d7,77c7
7e2a,8414,7d21
7f57,80a5,80ad
7f10,7e1c,85f2
7f0a,7aae,88bd
7d52,7afb,8319
801c,7ffb,7e5e
7f87,7fec,7d54
7ddb,816d,7bd7
7ec8,81ea,7c0a
7eb4,7e27,8273
7f5b,7a36,84af
8010,7a21,8155
7fa7,7ba6,800b
807a,7f1d,7b7a
80a6,82fe,7528
7bdc,8616,7754
7d6b,832d,7d36
7f3c,8087,8088
80a1,7d8e,85d7
8012,79c4,88db
7f66,7a3c,83ac
8013,7eff,7e43
7f7c,806a,7d46
7df3,80e4,7ab7
7ea5,81fc,7bb0
7cf4,7dea,825d
7e44,7aed,840a
8154,7a62,80ba
8017,7c6a,7f8c
8066,7f3b,7b71
807f,829b,74ae
7c83,86e0,7784
7da8,84d3,7d85
7e08,80a3,80d5
7f85,7db6,8640
7fcc,7afe,88e1
7d9f,79cb,8453
7ee2,7e2b,7ebd
7d29,8001,7ccb
7c80,81cc,7b3c
8065,8218,7bf3
7f71,7d36,8244
7f0c,7adb,8454
80be,7a25,819e
8026,7b5f,7f9b
7f97,7ec0,7b76
7ebf,8302,754d
7c3c,8685,772d
7d76,837d,7cde
7f2e,8031,8026
7e7d,7e0c,85c9
7f38,7a6a,8904
7e32,7af5,8424
7ee2,7f64,7ec5
7db9,7fd0,7d44
7c0c,8207,7b00
7d93,812e,7aff
7db2,7ccd,81c2
7f69,7a7a,83f0
8162,7aa7,8211
80ef,7bff,8044
7fb4,7f83,7bf1
7eb6,8239,7502
7c9a,8612,76ff
7d00,83c8,7c35
7f73,80a4,803c
803e,7dff,863b
7ef3,7a43,895b
7e53,7a87,83cc
80bf,7f36,7ee7
7f65,7f81,7da2
7de3,81be,7be3
7e3a,8156,7b99
7dfa,7d9a,8135
7e5b,7aae,8469
80e5,79df,81e5
819a,7c8f,7fe1
8187,7f80,7ac2
7dc8,8363,758f
7c3b,8750,76f9
7e44,83d9,7d43
7f2a,8079,8083
80ae,7e43,85ac
8089,7aa6,891a
7f34,7a80,8434
8072,7e3b,7e2c
7de4,7f3a,7dee
7d2a,8127,7aea
7e45,812e,7b64
7dfc,7e54,813e
7f39,7ade,83c6
80e2,7a8c,815b
7f93,7bf1,7fe1
7eb7,7f75,7bd6
7da5,8299,7526
7cf0,86e2,77d2
7ea3,851f,7cf9
7dd8,817d,80db
8015,7e78,85a2
8096,79fc,88a9
7ebe,79fd,84c7
7ea1,7ed8,7f45
7d36,7e09,7d58
7be8,80e4,7ad9
7d1e,817c,7b2a
7ed2,7d3b,81c9
7f40,7a81,83f6
8122,79fd,812f
8024,7bf4,8031
7fd2,7ed6,7b57
804d,825e,75b0
7bb9,872b,77cd
7ddc,858c,7d4c
7e3d,81cc,8049
7ef3,7ec0,85df
7eb3,797f,894e
7ef3,7997,8367
7f58,7e3d,7e78
7d7d,7eec,7d7f
7cd8,80db,7b13
7fe8,80ce,7bb6
7f13,7e0d,81dd
7f6f,7b21,83ea
81ad,7a15,8098
816e,7c2a,7f86
7f0c,7e76,7b7a
7e5d,81d4,74c3
7d59,8785,7790
7f1b,84b5,7d9e
807c,817f,8099
7f06,7ea6,861d
7f18,7aa7,88e7
7e3d,7ac5,83a4
7f25,7d9a,7e5b
7eec,7f77,7e63
7be2,8184,7b42
7e6d,81af,7b1f
7dc7,7e31,824f
7f6b,7b5b,84fa
7fd3,7a1e,8180
7ff2,7b3a,7f36
80c0,7e7b,7be7
7efe,82d5,750f
7d4c,873f,7734
7d87,8442,7ce0
7e5f,80f9,7fed
805e,7f01,8586
80a0,7ae6,899e
7ede,7ab4,84c2
808b,7df3,7ee9
7dfe,7f63,7c98
7d6d,8227,7a68
7ff7,81b9,7b1e
7d45,7ea0,8225
7da5,7a3b,83f6
820d,7a02,81a6
8063,7c09,7fd4
7dee,7f43,7be2
7d88,8345,75f2
7d4d,85ba,7727
7fbd,8357,7cc5
7e89,80ec,8030
7e2b,7eaa,85a6
7f4d,7af3,89e2
7e3b,7a5f,83be
7eb4,7e24,7f5b
7de0,7f93,7dba
7c56,8199,7b0e
7f28,81ca,7bae
7f01,7d5c,8197
7ebf,799c,83e3
811d,79b5,81cb
7f1b,7cba,7fa2
7ec2,7edd,7b2a
7f43,82fb,75b2
7d5a,861e,77e8
7da7,842c,7cb7
7e5e,81ab,7fc1
7fb0,7ef6,857c
81c8,7a4f,897b
7fc6,7ab3,8491
7efc,7f0e,7e41
7eb5,7f7b,7d6d
7e5d,8093,7a02
7f1c,80bf,7ab9
7df3,7e1d,817b
802a,7a9d,850a
825a,7a78,81b3
7fcc,7c71,800c
7ef4,7f81,7bdb
7d98,82f1,7515
7c12,8640,7713
7e28,839f,7d0b
7df5,7fa6,8095
7f1c,7e7b,85c2
8160,7ab1,892e
7e82,7b55,84ea
7eb9,7f23,7ecd
7ecd,7f97,7dc0
7d02,8178,7aff
7dc3,8122,7aa4
7ea5,7e18,80d6
7f1f,7a93,83e5
7fec,79da,80e6
807a,7d48,8060
7fe9,7eee,7b12
7cef,82b9,7555
7c51,862d,776c
7ecf,840e,7cec
7ed7,80bf,8029
7dd7,7e7b,860a
800d,7aec,8913
7f64,7a78,84cd
7ffa,7d7b,7ef9
7f68,7f0c,7d0e
7d4d,81a6,7ac1
7f52,8140,7b45
7ee9,7da8,81d4
7f32,7ac2,8423
80e6,79ef,815e
7f4a,7bd2,80b1
7ffe,7e9e,7c7b
7e3c,8295,75c2
7c6d,86f8,774e
7d97,834e,7cdc
7dd4,7f9f,803e
7fbd,7e25,85ab
7f19,7b39,8914
7f11,7b2f,84f0
8016,7f8c,7eff
7f28,7ec6,7e62
7c31,81bc,7b2b
7d74,8269,7ac7
7cd3,7de3,80cb
7d4c,79d2,83c8
7f31,7a3a,80c6
7f28,7c5e,806c
811d,7f39,7b67
8090,83a5,7503
7cdc,874c,77aa
7d8a,83ee,7cca
7e6a,8052,809e
7f3f,7e21,85b9
818f,7add,88ca
817e,7aa8,83c3
8178,7de1,7e87
7f7c,7edc,7e77
7d62,810a,7aaa
7e4e,815a,7a90
7d85,7e3b,81d9
7e3e,7b29,84ae
7f78,7ad3,80f6
